FileName,Tag,TagName,VR,Value
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0020,000D) : StudyInstanceUID;UniqueIdentifier;System.String;1.2.246.352.76.1.336529019833.521146.2310829075973
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0020,000E) : SeriesInstanceUID;UniqueIdentifier;System.String;1.2.246.352.71.2.336529019833.18080500.20230419131020
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0020,0010) : StudyID;ShortString;System.String;CT2
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0020,0011) : SeriesNumber;IntegerString;System.Int32;21
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0020,0032) : ImagePositionPatient;DecimalString;System.Double;-276
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0020,0037) : ImageOrientationPatient;DecimalString;System.Double;1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0020,0052) : FrameOfReferenceUID;UniqueIdentifier;System.String;1.3.12.2.1107.5.1.4.67129.30000023041806302887300000010
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0020,1040) : PositionReferenceIndicator;LongString;System.String;
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0028,0002) : SamplesPerPixel;UnsignedShort;System.UInt16;1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0028,0004) : PhotometricInterpretation;CodeString;System.String;MONOCHROME2
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0028,0008) : NumberOfFrames;IntegerString;System.Int32;212
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0028,0009) : FrameIncrementPointer;AttributeTag;EvilDICOM.Core.Element.Tag;(3004,000C) : GridFrameOffsetVector
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0028,0010) : Rows;UnsignedShort;System.UInt16;181
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0028,0011) : Columns;UnsignedShort;System.UInt16;279
