filename;obj_type;DicomTag:TagName;TagValue;obj_type2
RI.1.2.246.352.71.3.336529019833.78926131.20230419131816.dcm;image;(0008,0016) : SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.62.1.5749139291130314037.14740269236949962406.dcm;image;(0008,1155) : ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051;Other
RI.1.2.246.352.62.1.5749139291130314037.14740269236949962406.dcm;image;(0020,0052) : FrameOfReferenceUID;1.2.246.352.62.3.4667486624640129643.14395182237456350889;Other
RI.1.2.246.352.71.3.336529019833.78926132.20230419131816.dcm;image;(0002,0002) : MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.62.1.5750095811815345682.8939250229568374690.dcm;image;(0002,0003) : MediaStorageSOPInstanceUID;1.2.246.352.62.1.5750095811815345682.8939250229568374690;Other
RI.1.2.246.352.62.1.5750095811815345682.8939250229568374690.dcm;image;(0002,0010) : TransferSyntaxUID;1.2.840.10008.1.2;dose
RI.1.2.246.352.62.1.5750095811815345682.8939250229568374690.dcm;image;(0002,0012) : ImplementationClassUID;1.2.246.352.70.2.1.160.3;Other
RI.1.2.246.352.71.3.336529019833.78926132.20230419131816.dcm;image;(0008,0016) : SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.62.1.5750095811815345682.8939250229568374690.dcm;image;(0008,0018) : SOPInstanceUID;1.2.246.352.62.1.5750095811815345682.8939250229568374690;Other
RI.1.2.246.352.62.1.5750095811815345682.8939250229568374690.dcm;image;(0008,3010) : IrradiationEventUID;1.2.246.352.62.30.5115790110317226957.2133392648956055701;Other
RI.1.2.246.352.62.1.5750095811815345682.8939250229568374690.dcm;image;(0020,000D) : StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973;Other
RI.1.2.246.352.62.1.5750095811815345682.8939250229568374690.dcm;image;(0020,000E) : SeriesInstanceUID;1.2.246.352.62.2.5606052133463322192.3303800205075542661;Other
RI.1.2.246.352.71.3.336529019833.78926133.20230419131816.dcm;image;(0002,0002) : MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.62.1.5750095811815345682.8939250229568374690.dcm;image;(0008,1155) : ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051;Other
RI.1.2.246.352.62.1.5750095811815345682.8939250229568374690.dcm;image;(0020,0052) : FrameOfReferenceUID;1.2.246.352.62.3.5250307505532981458.9156209096874911910;Other
RI.1.2.246.352.71.3.336529019833.78926133.20230419131816.dcm;image;(0008,0016) : SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926129.20230419131816.dcm;image;(0002,0003) : MediaStorageSOPInstanceUID;1.2.246.352.71.3.336529019833.78926129.20230419131816;Other
RI.1.2.246.352.71.3.336529019833.78926129.20230419131816.dcm;image;(0002,0010) : TransferSyntaxUID;1.2.840.10008.1.2;dose
RI.1.2.246.352.71.3.336529019833.78926129.20230419131816.dcm;image;(0002,0012) : ImplementationClassUID;1.2.246.352.70.2.1.160.3;Other
RI.1.2.246.352.71.3.336529019833.78926134.20230419131816.dcm;image;(0002,0002) : MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926129.20230419131816.dcm;image;(0008,0018) : SOPInstanceUID;1.2.246.352.71.3.336529019833.78926129.20230419131816;Other
RI.1.2.246.352.71.3.336529019833.78926129.20230419131816.dcm;image;(0020,000D) : StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973;Other
RI.1.2.246.352.71.3.336529019833.78926129.20230419131816.dcm;image;(0020,000E) : SeriesInstanceUID;1.2.246.352.71.2.336529019833.18080501.20230419131708;Other
